Words,Author,From
"I have had my invitation to this world's festival, and thus my life has been blessed.",Rabindranath Tagore,
Be yourself; everyone else is already taken.,Oscar Wilde,
"The world isn’t perfect. But it’s there for us, doing the best it can….that’s what makes it so damn beautiful.",Roy Mustang,Full Metal Alchemist
How can you move forward when you keep regretting the past?,,Full Metal Alchemist
I’m not stupid. I’m just too lazy to show how smart I am.,Oreki Houtarou,Hyouka
"Knowing what it feels to be in pain, is exactly why we try to be kind to others.",Jiraiya,Naruto
Life isn't about finding yourself. Life is about creating yourself.,George Bernard Shaw,
Logic will get you from A to Z; imagination will get you everywhere.,Albert Einstein,
"One good thing about music, when it hits you, you feel no pain.",Bob Marley,
"Success is not final, failure is not fatal: it is the courage to continue that counts.",Winston S. Churchill,
"Coffee or tea, that is the question.",Internet,
"Violence creates many problems, extreme violence solves all problems.",Internet,
Life is long enought; greed is never stuffed.,Internet,
I'll let you be in my dreams if I can be in yours,Bob Dylan,Talking World War III Blues
"The more I live, the more I learn. The more I learn, the more I realize, the less I know.",Michel Legrand,
"You've got to accentuate the positive
Eliminate the negative
Latch on to the affirmative
Don't mess with Mister In-Between",Johnny Mercer,Ac-Cent-Tchu-Ate the Positive
"It go, right foot up, left foot slide
Left foot up, right foot slide",Drake,Toosie Slide
